CDR1,TRBV24-1_01,TRBV04-1_02,TRBV19_01,TRBV10-3_01,TRBV06-6_04,TRBV06-8_01,TRBV04-3_02,TRBV25-1_01,TRBV06-7_01,TRBV04-3_01,TRBV06-2_01,TRBV06-6_01,TRBV06-4_02,TRBV10-2_02,TRBV19_02,TRBV10-2_01,TRBV06-1_01,TRBV06-3_01,TRBV04-1_01,TRBV06-5_01,TRBV10-1_01,TRBV06-4_01,TRBV28_01,TRBV24_OR9-2_01,TRBV10-1_02,TRBV19_03,TRBV27_01,TRBV06-6_02,TRBV06-6_03,TRBV04-3_03,TRBV04-2_02,TRBV06-9_01,TRBV06-6_05,TRBV24-1_02,TRBV04-2_01,TRBV04-3_04,TRBV10-3_02,TRBV07-2_04,TRBV29_OR9-2_02,TRBV07-9_02,TRBV12-4_02,TRBV07-6_02,TRBV29-1_01,TRBV07-3_02,TRBV12-3_01,TRBV07-9_01,TRBV17_01,TRBV14_01,TRBV05-4_01,TRBV05-1_01,TRBV11-2_01,TRBV05-4_03,TRBV05-1_02,TRBV05-5_02,TRBV07-7_01,TRBV05-3_02,TRBV13_01,TRBV02_01,TRBV21_OR9-2_01,TRBV02_02,TRBV07-3_05,TRBV07-2_03,TRBV11-3_04,TRBV07-9_04,TRBV29-1_02,TRBV11-2_02,TRBV18_01,TRBV15_01,TRBV11-3_02,TRBV07-9_07,TRBV05-5_03,TRBV03-1_02,TRBV11-2_03,TRBV09_01,TRBV07-7_02,TRBV12-4_01,TRBV09_03,TRBV07-8_01,TRBV07-3_04,TRBV07-9_03,TRBV07-3_03,TRBV16_01,TRBV07-3_01,TRBV07-2_01,TRBV02_03,TRBV17_02,TRBV07-9_06,TRBV15_02,TRBV05-3_01,TRBV05-5_01,TRBV11-1_01,TRBV14_02,TRBV05-7_01,TRBV07-6_01,TRBV12-5_01,TRBV13_02,TRBV07-2_02,TRBV23-1_01,TRBV07-4_01,TRBV29-1_03,TRBV05-4_02,TRBV05-8_02,TRBV07-9_05,TRBV11-3_01,TRBV29_OR9-2_01,TRBV05-8_01,TRBV11-3_03,TRBV07-8_02,TRBV15_03,TRBV09_02,TRBV03-1_01,TRBV05-4_04,TRBV07-1_01,TRBV20-1_06,TRBV20-1_03,TRBV20-1_01,TRBV20-1_05,TRBV20_OR9-2_02,TRBV20_OR9-2_01,TRBV20-1_02,TRBV20-1_04,TRBV20_OR9-2_03,TRBV20-1_07,TRBV30_05,TRBV30_04,TRBV30_02,TRBV30_01,TRBV05-6_01,TRBV07-8_03,TRBV16_03
TRBV06-2_01,0.6697,0.2302,0.344,0.670,0.148,0.210,0.230,0.233,0.097,0.230,0.000,0.148,0.148,0.670,0.344,0.670,0.156,0.000,0.230,0.097,0.670,0.148,0.205,0.670,0.670,0.344,0.057,0.148,0.148,0.230,0.230,0.097,0.148,0.670,0.230,0.230,0.670,0.465,0.465,0.434,0.449,0.465,0.465,0.389,0.449,0.434,0.465,0.351,0.484,0.577,0.384,0.484,0.577,0.484,0.465,0.493,0.564,0.451,0.552,0.451,0.389,0.465,0.384,0.434,0.465,0.384,0.465,0.465,0.384,0.434,0.484,0.545,0.384,0.499,0.465,0.449,0.499,0.399,0.389,0.434,0.389,0.552,0.389,0.465,0.451,0.465,0.434,0.465,0.493,0.484,0.384,0.351,0.484,0.465,0.449,0.564,0.465,0.552,0.465,0.530,0.484,0.530,0.434,0.384,0.465,0.530,0.384,0.399,0.465,0.556,0.545,0.484,0.465,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.884,0.884,0.884,0.884,0.456,0.399,1
TRBV06-6_01,0.7198,0.211,0.347,0.720,0.000,0.226,0.211,0.117,0.116,0.211,0.148,0.000,0.121,0.720,0.347,0.720,0.263,0.148,0.211,0.116,0.720,0.121,0.173,0.720,0.720,0.347,0.136,0.000,0.000,0.211,0.211,0.116,0.000,0.720,0.211,0.211,0.720,0.440,0.441,0.412,0.432,0.440,0.441,0.404,0.432,0.412,0.440,0.395,0.513,0.478,0.404,0.513,0.478,0.513,0.440,0.455,0.485,0.438,0.477,0.438,0.404,0.440,0.404,0.412,0.441,0.404,0.440,0.440,0.404,0.412,0.513,0.564,0.404,0.445,0.440,0.432,0.445,0.404,0.404,0.412,0.404,0.477,0.404,0.440,0.438,0.440,0.412,0.441,0.455,0.513,0.404,0.395,0.513,0.440,0.432,0.485,0.440,0.477,0.440,0.522,0.513,0.522,0.412,0.404,0.441,0.522,0.404,0.404,0.441,0.483,0.564,0.513,0.440,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.899,0.850,0.850,0.850,0.850,0.4568,0.404,1
TRBV06-4_02,0.6988,0.0703,0.194,0.699,0.121,0.195,0.070,0.118,0.080,0.070,0.148,0.121,0.000,0.699,0.194,0.699,0.156,0.148,0.070,0.080,0.699,0.000,0.065,0.699,0.699,0.194,0.179,0.121,0.121,0.070,0.070,0.080,0.121,0.699,0.070,0.070,0.699,0.497,0.497,0.373,0.441,0.497,0.497,0.373,0.441,0.373,0.497,0.322,0.450,0.580,0.366,0.450,0.580,0.450,0.497,0.450,0.558,0.415,0.560,0.415,0.373,0.497,0.366,0.373,0.497,0.366,0.497,0.496,0.366,0.373,0.450,0.499,0.366,0.458,0.497,0.441,0.458,0.362,0.373,0.373,0.373,0.560,0.373,0.497,0.415,0.497,0.373,0.497,0.450,0.450,0.366,0.322,0.450,0.497,0.441,0.558,0.497,0.560,0.497,0.523,0.450,0.522,0.373,0.366,0.497,0.522,0.366,0.362,0.497,0.510,0.499,0.450,0.497,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.860,0.856,0.856,0.856,0.856,0.4249,0.362,1
TRBV10-2_02,0,0.6902,0.671,0.000,0.720,0.707,0.690,0.718,0.665,0.690,0.670,0.720,0.699,0.000,0.671,0.000,0.690,0.670,0.690,0.665,0.000,0.699,0.652,0.000,0.000,0.671,0.691,0.720,0.720,0.690,0.690,0.665,0.720,0.000,0.690,0.690,0.000,0.861,0.861,0.828,0.826,0.860,0.861,0.830,0.826,0.828,0.860,0.829,0.822,0.825,0.840,0.822,0.825,0.822,0.860,0.765,0.812,0.804,0.819,0.804,0.830,0.861,0.840,0.828,0.861,0.840,0.860,0.860,0.840,0.828,0.822,0.796,0.840,0.782,0.860,0.826,0.782,0.823,0.830,0.828,0.830,0.819,0.830,0.861,0.804,0.860,0.828,0.860,0.765,0.822,0.840,0.829,0.822,0.860,0.826,0.812,0.861,0.819,0.860,0.801,0.822,0.801,0.828,0.840,0.861,0.801,0.840,0.823,0.860,0.789,0.796,0.822,0.860,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.822,0.822,0.822,0.822,0.8265,0.823,1
TRBV19_02,0.6713,0.1791,0.000,0.671,0.347,0.410,0.179,0.225,0.325,0.179,0.344,0.347,0.194,0.671,0.000,0.671,0.283,0.344,0.179,0.325,0.671,0.194,0.220,0.671,0.671,0.000,0.326,0.347,0.347,0.179,0.179,0.325,0.347,0.671,0.179,0.179,0.671,0.603,0.603,0.441,0.499,0.603,0.603,0.484,0.499,0.441,0.603,0.467,0.433,0.635,0.487,0.433,0.635,0.433,0.603,0.466,0.580,0.438,0.607,0.438,0.484,0.603,0.487,0.441,0.603,0.487,0.603,0.603,0.487,0.441,0.433,0.483,0.487,0.512,0.603,0.499,0.512,0.455,0.484,0.441,0.484,0.607,0.484,0.603,0.438,0.603,0.441,0.603,0.466,0.433,0.487,0.467,0.433,0.603,0.499,0.580,0.603,0.607,0.603,0.507,0.433,0.507,0.441,0.487,0.603,0.507,0.487,0.455,0.603,0.511,0.483,0.433,0.603,0.886,0.886,0.886,0.886,0.886,0.886,0.886,0.886,0.886,0.886,0.827,0.827,0.827,0.827,0.4817,0.455,1
TRBV10-2_01,0,0.6902,0.671,0.000,0.720,0.707,0.690,0.718,0.665,0.690,0.670,0.720,0.699,0.000,0.671,0.000,0.690,0.670,0.690,0.665,0.000,0.699,0.652,0.000,0.000,0.671,0.691,0.720,0.720,0.690,0.690,0.665,0.720,0.000,0.690,0.690,0.000,0.861,0.861,0.828,0.826,0.860,0.861,0.830,0.826,0.828,0.860,0.829,0.822,0.825,0.840,0.822,0.825,0.822,0.860,0.765,0.812,0.804,0.819,0.804,0.830,0.861,0.840,0.828,0.861,0.840,0.860,0.860,0.840,0.828,0.822,0.796,0.840,0.782,0.860,0.826,0.782,0.823,0.830,0.828,0.830,0.819,0.830,0.861,0.804,0.860,0.828,0.860,0.765,0.822,0.840,0.829,0.822,0.860,0.826,0.812,0.861,0.819,0.860,0.801,0.822,0.801,0.828,0.840,0.861,0.801,0.840,0.823,0.860,0.789,0.796,0.822,0.860,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.822,0.822,0.822,0.822,0.8265,0.823,1
TRBV06-1_01,0.69,0.1709,0.283,0.690,0.263,0.233,0.171,0.316,0.124,0.171,0.156,0.263,0.156,0.690,0.283,0.690,0.000,0.156,0.171,0.124,0.690,0.156,0.217,0.690,0.690,0.283,0.180,0.263,0.263,0.171,0.171,0.124,0.263,0.690,0.171,0.171,0.690,0.574,0.574,0.395,0.519,0.574,0.574,0.461,0.519,0.395,0.574,0.397,0.487,0.656,0.453,0.487,0.656,0.487,0.574,0.563,0.634,0.505,0.626,0.505,0.461,0.574,0.453,0.395,0.574,0.453,0.574,0.574,0.453,0.395,0.487,0.535,0.453,0.588,0.574,0.519,0.588,0.453,0.461,0.395,0.461,0.626,0.461,0.574,0.505,0.574,0.395,0.574,0.563,0.487,0.453,0.397,0.487,0.574,0.519,0.634,0.574,0.626,0.574,0.565,0.487,0.565,0.395,0.453,0.574,0.565,0.453,0.453,0.574,0.588,0.535,0.487,0.574,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.872,0.841,0.841,0.841,0.841,0.5018,0.453,1
TRBV06-3_01,0.6697,0.2302,0.344,0.670,0.148,0.210,0.230,0.233,0.097,0.230,0.000,0.148,0.148,0.670,0.344,0.670,0.156,0.000,0.230,0.097,0.670,0.148,0.205,0.670,0.670,0.344,0.057,0.148,0.148,0.230,0.230,0.097,0.148,0.670,0.230,0.230,0.670,0.465,0.465,0.434,0.449,0.465,0.465,0.389,0.449,0.434,0.465,0.351,0.484,0.577,0.384,0.484,0.577,0.484,0.465,0.493,0.564,0.451,0.552,0.451,0.389,0.465,0.384,0.434,0.465,0.384,0.465,0.465,0.384,0.434,0.484,0.545,0.384,0.499,0.465,0.449,0.499,0.399,0.389,0.434,0.389,0.552,0.389,0.465,0.451,0.465,0.434,0.465,0.493,0.484,0.384,0.351,0.484,0.465,0.449,0.564,0.465,0.552,0.465,0.530,0.484,0.530,0.434,0.384,0.465,0.530,0.384,0.399,0.465,0.556,0.545,0.484,0.465,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.884,0.884,0.884,0.884,0.456,0.399,1
TRBV04-1_01,0.6902,0,0.179,0.690,0.211,0.271,0.000,0.147,0.167,0.000,0.230,0.211,0.070,0.690,0.179,0.690,0.171,0.230,0.000,0.167,0.690,0.070,0.053,0.690,0.690,0.179,0.237,0.211,0.211,0.000,0.000,0.167,0.211,0.690,0.000,0.000,0.690,0.475,0.475,0.403,0.407,0.475,0.475,0.386,0.407,0.403,0.475,0.374,0.442,0.541,0.387,0.442,0.541,0.442,0.475,0.448,0.514,0.393,0.509,0.393,0.386,0.475,0.387,0.403,0.475,0.387,0.475,0.475,0.387,0.403,0.442,0.521,0.387,0.460,0.475,0.407,0.460,0.382,0.386,0.403,0.386,0.509,0.386,0.475,0.393,0.475,0.403,0.476,0.448,0.442,0.387,0.374,0.442,0.475,0.407,0.514,0.475,0.509,0.475,0.475,0.442,0.475,0.403,0.387,0.475,0.475,0.387,0.382,0.476,0.517,0.521,0.442,0.475,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.867,0.835,0.835,0.835,0.835,0.4363,0.382,1
TRBV06-5_01,0.6648,0.1673,0.325,0.665,0.116,0.125,0.167,0.222,0.000,0.167,0.097,0.116,0.080,0.665,0.325,0.665,0.124,0.097,0.167,0.000,0.665,0.080,0.147,0.665,0.665,0.325,0.117,0.116,0.116,0.167,0.167,0.000,0.116,0.665,0.167,0.167,0.665,0.488,0.488,0.404,0.440,0.488,0.488,0.381,0.440,0.404,0.488,0.375,0.451,0.564,0.377,0.451,0.564,0.451,0.488,0.498,0.541,0.422,0.541,0.422,0.381,0.488,0.377,0.404,0.488,0.377,0.488,0.488,0.377,0.404,0.451,0.501,0.377,0.511,0.488,0.440,0.511,0.371,0.381,0.404,0.381,0.541,0.381,0.488,0.422,0.488,0.404,0.488,0.498,0.451,0.377,0.375,0.452,0.488,0.440,0.541,0.488,0.541,0.488,0.517,0.451,0.517,0.404,0.377,0.488,0.517,0.377,0.371,0.488,0.561,0.501,0.451,0.488,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.867,0.867,0.867,0.867,0.421,0.371,1
TRBV10-1_01,0,0.6902,0.671,0.000,0.720,0.707,0.690,0.718,0.665,0.690,0.670,0.720,0.699,0.000,0.671,0.000,0.690,0.670,0.690,0.665,0.000,0.699,0.652,0.000,0.000,0.671,0.691,0.720,0.720,0.690,0.690,0.665,0.720,0.000,0.690,0.690,0.000,0.861,0.861,0.828,0.826,0.860,0.861,0.830,0.826,0.828,0.860,0.829,0.822,0.825,0.840,0.822,0.825,0.822,0.860,0.765,0.812,0.804,0.819,0.804,0.830,0.861,0.840,0.828,0.861,0.840,0.860,0.860,0.840,0.828,0.822,0.796,0.840,0.782,0.860,0.826,0.782,0.823,0.830,0.828,0.830,0.819,0.830,0.861,0.804,0.860,0.828,0.860,0.765,0.822,0.840,0.829,0.822,0.860,0.826,0.812,0.861,0.819,0.860,0.801,0.822,0.801,0.828,0.840,0.861,0.801,0.840,0.823,0.860,0.789,0.796,0.822,0.860,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.847,0.822,0.822,0.822,0.822,0.8265,0.823,1
