,TRBV17*01,TRBV19*03,TRBV1*02,TRBV12-1*02,TRBV19*01,TRBV5*04,TRBV13-3*01,TRBV13-1*02,TRBV16*02,TRBV24*02,TRBV20*01,TRBV15*01,TRBV13-1*01,TRBV29*01,TRBV24*03,TRBV12-1*01,TRBV29*02,TRBV13-2*04,TRBV5*01,TRBV3*02,TRBV4*02,TRBV16*01,TRBV5*02,TRBV2*01,TRBV19*02,TRBV1*01,TRBV16*04,TRBV20*02,TRBV3*01,TRBV26*01,TRBV14*01,TRBV13-2*02,TRBV23*01,TRBV24*04,TRBV24*01,TRBV5*03,TRBV4*01,TRBV5*05,TRBV13-2*05,TRBV13-2*03,TRBV26*02,TRBV16*03,TRBV13-2*01,TRBV12-2*01,TRBV12-2*02,TRBV21*01
TRBV16*01,0.83403,0.6438,0.80782,0.67494,0.80382,0.56071,0.79112,0.74738,0.00375,0.63714,0.80162,0.29015,0.74587,0.70486,0.63714,0.67492,0.71048,0.77379,0.56473,0.72186,0.56627,0,0.56473,0.80387,0.63881,0.64414,0.02081,0.79979,0.72975,0.67278,0.57761,0.77591,0.64831,0.63723,0.64299,0.56283,0.5381,0.55159,0.7745,0.77123,0.67221,0.02854,0.77591,0.7884,0.7889,0.8072
TRBV5*02,0.85065,0.60646,0.85767,0.60018,0.85737,0.00138,0.79497,0.82342,0.56879,0.66988,0.76655,0.50357,0.83493,0.76001,0.66988,0.59892,0.75741,0.81522,0,0.77787,0.13721,0.56473,0,0.85742,0.68294,0.60739,0.56413,0.76476,0.7803,0.67437,0.63065,0.81489,0.61492,0.67749,0.67368,0.00695,0.14426,0.06945,0.81787,0.80268,0.67089,0.56035,0.81489,0.6449,0.6445,0.6416
TRBV2*01,0.49181,0.81274,0.00456,0.84291,0.00324,0.85716,0.56531,0.30982,0.80835,0.8079,0.78356,0.7749,0.3158,0.56599,0.8079,0.84289,0.5707,0.54724,0.85742,0.79711,0.81025,0.80387,0.85742,0,0.80153,0.81344,0.79693,0.78355,0.79705,0.81092,0.77844,0.545,0.81042,0.80864,0.80143,0.85927,0.80979,0.83136,0.53588,0.54071,0.81097,0.80852,0.545,0.1813,0.1823,0.6613
TRBV19*02,0.8238,0.69385,0.80169,0.67941,0.80178,0.67906,0.84212,0.80341,0.63821,0.29826,0.80387,0.63859,0.79949,0.78591,0.29826,0.67746,0.78594,0.80877,0.68294,0.81133,0.68634,0.63881,0.68294,0.80153,0,0.69317,0.65048,0.80291,0.78277,0.29015,0.57959,0.80842,0.30652,0.30955,0.30158,0.67775,0.70129,0.65005,0.81296,0.809,0.27424,0.62108,0.80842,0.7012,0.7017,0.3065
TRBV1*01,0.81836,0.00047,0.81854,0.17598,0.81422,0.60903,0.78313,0.79174,0.63958,0.63242,0.78286,0.60111,0.79346,0.74598,0.63242,0.18127,0.749,0.79746,0.60739,0.67458,0.60974,0.64414,0.60739,0.81344,0.69317,0,0.649,0.78206,0.66597,0.65598,0.60813,0.79728,0.69986,0.63173,0.6446,0.60345,0.63038,0.55562,0.79609,0.79282,0.65257,0.64888,0.79728,0.585,0.5841,0.6898
TRBV16*04,0.82654,0.6491,0.79683,0.67165,0.79415,0.56522,0.79768,0.7344,0.01967,0.63638,0.79802,0.27407,0.73303,0.69659,0.63638,0.67136,0.70128,0.75928,0.56413,0.72289,0.56018,0.02081,0.56413,0.79693,0.65048,0.649,0,0.79241,0.73395,0.668,0.55452,0.7602,0.63343,0.63752,0.64,0.56871,0.5417,0.56167,0.77371,0.77799,0.66379,0.05987,0.7602,0.6594,0.6592,0.2742
TRBV20*02,0.80389,0.78154,0.78582,0.77642,0.78128,0.76493,0.80838,0.81033,0.79948,0.81158,0.00085,0.75965,0.8081,0.79587,0.81158,0.77827,0.79667,0.851,0.76476,0.76778,0.78547,0.79979,0.76476,0.78355,0.80291,0.78206,0.79241,0,0.76751,0.80969,0.80037,0.82408,0.80697,0.80894,0.80897,0.76468,0.78934,0.75129,0.82337,0.82539,0.81451,0.80736,0.82408,0.6074,0.6065,0.6693
TRBV3*01,0.83265,0.66525,0.79838,0.7101,0.80024,0.78014,0.76273,0.79631,0.73155,0.76361,0.76822,0.74815,0.80399,0.75166,0.76361,0.71116,0.75403,0.79801,0.7803,0.05599,0.76359,0.72975,0.7803,0.79705,0.78277,0.66597,0.73395,0.76751,0,0.76914,0.74506,0.79685,0.7855,0.76399,0.77295,0.78152,0.74001,0.78564,0.79823,0.7946,0.75684,0.72191,0.79685,0.6449,0.6395,0.2983
TRBV26*01,0.80424,0.65678,0.81405,0.64363,0.81079,0.67446,0.8588,0.80583,0.66992,0.22222,0.80994,0.61566,0.80302,0.79564,0.22222,0.64258,0.79789,0.77851,0.67437,0.76267,0.68295,0.67278,0.67437,0.81092,0.29015,0.65598,0.668,0.80969,0.76914,0,0.65019,0.77792,0.16603,0.22584,0.23709,0.67011,0.67797,0.63426,0.77781,0.77901,0.01667,0.67305,0.77792,0.7884,0.7889,0.8071
TRBV14*01,0.80208,0.60539,0.78027,0.64571,0.77716,0.63013,0.82856,0.79843,0.58042,0.62025,0.80086,0.55539,0.80096,0.77702,0.62025,0.65034,0.7789,0.78785,0.63065,0.75769,0.61904,0.57761,0.63065,0.77844,0.57959,0.60813,0.55452,0.80037,0.74506,0.65019,0,0.78879,0.65484,0.61788,0.63162,0.64014,0.60692,0.60558,0.81465,0.7865,0.63032,0.61965,0.78879,0.8197,0.819,0.8165
TRBV13-2*02,0.53083,0.79676,0.54749,0.80664,0.55196,0.81212,0.34181,0.392,0.77816,0.7866,0.84921,0.73257,0.38301,0.4368,0.7866,0.80809,0.43651,0.00087,0.81489,0.79109,0.79505,0.77591,0.81489,0.545,0.80842,0.79728,0.7602,0.82408,0.79685,0.77792,0.78879,0,0.779,0.78693,0.78631,0.81883,0.78023,0.80954,0.04659,0.04245,0.77325,0.75394,0,0.6639,0.6643,0.3016
TRBV23*01,0.84985,0.69962,0.80719,0.68646,0.81044,0.61272,0.82574,0.81015,0.64662,0.24563,0.80903,0.63196,0.81184,0.75772,0.24563,0.68622,0.75538,0.77904,0.61492,0.78043,0.64982,0.64831,0.61492,0.81042,0.30652,0.69986,0.63343,0.80697,0.7855,0.16603,0.65484,0.779,0,0.24954,0.25008,0.60642,0.6735,0.59408,0.77257,0.77881,0.15007,0.6324,0.779,0.6057,0.6036,0.5755
TRBV24*04,0.81692,0.63346,0.80417,0.6083,0.8097,0.67815,0.83061,0.79657,0.63618,0.0019,0.81076,0.61358,0.80083,0.78497,0.0019,0.60471,0.78454,0.78789,0.67749,0.78573,0.68934,0.63723,0.67749,0.80864,0.30955,0.63173,0.63752,0.80894,0.76399,0.22584,0.61788,0.78693,0.24954,0,0.01224,0.67493,0.6982,0.64188,0.78677,0.78862,0.22094,0.63237,0.78693,0.6011,0.6009,0.6417
TRBV24*01,0.81672,0.64608,0.80182,0.61797,0.80112,0.67707,0.83065,0.80741,0.64224,0.01091,0.81097,0.61235,0.8064,0.79656,0.01091,0.61412,0.79641,0.78755,0.67368,0.81988,0.688,0.64299,0.67368,0.80143,0.30158,0.6446,0.64,0.80897,0.77295,0.23709,0.63162,0.78631,0.25008,0.01224,0,0.67254,0.69993,0.64386,0.78601,0.78927,0.23348,0.63896,0.78631,0.6465,0.647,0.3096
TRBV5*03,0.8504,0.60242,0.85952,0.59928,0.85923,0.00596,0.79635,0.82762,0.56614,0.66974,0.76707,0.50098,0.83754,0.76319,0.66974,0.59816,0.76048,0.8194,0.00695,0.77905,0.15003,0.56283,0.00695,0.85927,0.67775,0.60345,0.56871,0.76468,0.78152,0.67011,0.64014,0.81883,0.60642,0.67493,0.67254,0,0.16364,0.07111,0.82159,0.83479,0.66621,0.56254,0.81883,0.6034,0.6024,0.6677
TRBV4*01,0.82718,0.62679,0.81122,0.63466,0.80217,0.14537,0.78692,0.79456,0.53919,0.69362,0.79072,0.49271,0.79912,0.71113,0.69362,0.63374,0.71285,0.78157,0.14426,0.73025,0.06119,0.5381,0.14426,0.80979,0.70129,0.63038,0.5417,0.78934,0.74001,0.67797,0.60692,0.78023,0.6735,0.6982,0.69993,0.16364,0,0.12978,0.78643,0.77278,0.67422,0.51294,0.78023,0.7823,0.7818,0.8184
TRBV5*05,0.85268,0.55353,0.83319,0.57599,0.83153,0.06904,0.78288,0.82566,0.5528,0.63904,0.75285,0.47722,0.8267,0.7072,0.63904,0.57577,0.70912,0.81017,0.06945,0.7809,0.09846,0.55159,0.06945,0.83136,0.65005,0.55562,0.56167,0.75129,0.78564,0.63426,0.60558,0.80954,0.59408,0.64188,0.64386,0.07111,0.12978,0,0.81077,0.80011,0.62161,0.52923,0.80954,0.8223,0.8217,0.8183
TRBV13-2*05,0.54197,0.79556,0.53796,0.80392,0.54076,0.81509,0.34613,0.38042,0.77988,0.78656,0.8545,0.74412,0.38098,0.45835,0.78656,0.80533,0.45845,0.04411,0.81787,0.79437,0.7992,0.7745,0.81787,0.53588,0.81296,0.79609,0.77371,0.82337,0.79823,0.77781,0.81465,0.04659,0.77257,0.78677,0.78601,0.82159,0.78643,0.81077,0,0.09551,0.77328,0.76232,0.04659,0.7859,0.7857,0.8028
TRBV13-2*03,0.50292,0.79226,0.54484,0.81029,0.54494,0.83366,0.3837,0.40954,0.77326,0.78826,0.82577,0.73035,0.40358,0.46888,0.78826,0.81168,0.46882,0.04448,0.80268,0.79271,0.78754,0.77123,0.80268,0.54071,0.809,0.79282,0.77799,0.82539,0.7946,0.77901,0.7865,0.04245,0.77881,0.78862,0.78927,0.83479,0.77278,0.80011,0.09551,0,0.77555,0.75389,0.04245,0.6074,0.6065,0.6693
TRBV26*02,0.80625,0.65352,0.80961,0.63963,0.81121,0.67056,0.85062,0.79543,0.66795,0.21535,0.81468,0.61557,0.79365,0.78288,0.21535,0.6387,0.78462,0.77363,0.67089,0.75175,0.67349,0.67221,0.67089,0.81097,0.27424,0.65257,0.66379,0.81451,0.75684,0.01667,0.63032,0.77325,0.15007,0.22094,0.23348,0.66621,0.67422,0.62161,0.77328,0.77555,0,0.66903,0.77325,0.7815,0.7811,0.8194
TRBV16*03,0.85414,0.64826,0.8137,0.66855,0.80847,0.55898,0.78849,0.74845,0.03319,0.6316,0.8084,0.2917,0.74681,0.71548,0.6316,0.66863,0.72168,0.75411,0.56035,0.71204,0.54431,0.02854,0.56035,0.80852,0.62108,0.64888,0.05987,0.80736,0.72191,0.67305,0.61965,0.75394,0.6324,0.63237,0.63896,0.56254,0.51294,0.52923,0.76232,0.75389,0.66903,0,0.75394,0.176,0.1764,0.6621
TRBV13-2*01,0.53083,0.79676,0.54749,0.80664,0.55196,0.81212,0.34181,0.392,0.77816,0.7866,0.84921,0.73257,0.38301,0.4368,0.7866,0.80809,0.43651,0.00087,0.81489,0.79109,0.79505,0.77591,0.81489,0.545,0.80842,0.79728,0.7602,0.82408,0.79685,0.77792,0.78879,0,0.779,0.78693,0.78631,0.81883,0.78023,0.80954,0.04659,0.04245,0.77325,0.75394,0,0.827,0.8265,0.8168
TRBV12-2*01,0.6481,0.8315,0.6481,0.6304,0.6097,0.6486,0.8129,0.6677,0.8115,0.6553,0.8098,0.609,0.8275,0.8306,0.8071,0.7858,0.5556,0.8124,0.8124,0.6449,0.6403,0.7884,0.6449,0.1813,0.7012,0.585,0.6594,0.6074,0.6449,0.7884,0.8197,0.6639,0.6057,0.6011,0.6465,0.6034,0.7823,0.8223,0.7859,0.6074,0.7815,0.176,0.827,0,0.0005,0.6936
TRBV12-2*02,0.6486,0.8312,0.6474,0.6268,0.6074,0.6487,0.8119,0.6685,0.8111,0.6556,0.8092,0.6081,0.8269,0.8301,0.8065,0.7856,0.5535,0.8119,0.8119,0.6395,0.6393,0.7889,0.6445,0.1823,0.7017,0.5841,0.6592,0.6065,0.6395,0.7889,0.819,0.6643,0.6036,0.6009,0.647,0.6024,0.7818,0.8217,0.7857,0.6065,0.7811,0.1764,0.8265,0.0005,0,0.6946
TRBV21*01,0.8112,0.8212,0.6252,0.6899,0.6714,0.6505,0.8316,0.7829,0.8537,0.2901,0.8438,0.664,0.8158,0.8134,0.8305,0.8031,0.6374,0.8314,0.8314,0.2983,0.641,0.8072,0.6416,0.6613,0.3065,0.6898,0.2742,0.6693,0.2983,0.8071,0.8165,0.3016,0.5755,0.6417,0.3096,0.6677,0.8184,0.8183,0.8028,0.6693,0.8194,0.6621,0.8168,0.6936,0.6946,0
