,TRBV3*02,TRBV17*01,TRBV16*03,TRBV4*01,TRBV4*02,TRBV16*04,TRBV13-2*04,TRBV3*01,TRBV13-3*01,TRBV26*01,TRBV13-2*05,TRBV5*04,TRBV19*01,TRBV19*03,TRBV13-2*03,TRBV29*02,TRBV5*05,TRBV13-2*01,TRBV13-2*02,TRBV24*03,TRBV16*02,TRBV1*01,TRBV16*01,TRBV12-1*01,TRBV23*01,TRBV2*01,TRBV26*02,TRBV5*01,TRBV24*02,TRBV1*02,TRBV13-1*02,TRBV24*01,TRBV14*01,TRBV15*01,TRBV24*04,TRBV5*03,TRBV20*01,TRBV13-1*01,TRBV29*01,TRBV5*02,TRBV20*02,TRBV12-1*02,TRBV19*02,TRBV12-2*01,TRBV12-2*02,TRBV21*01
TRBV13-2*05,0.52742,0.73418,0.54216,0.56417,0.54987,0.53148,0.50555,0.63603,0.52435,0.62638,0,0.21559,0.63754,0.59874,0.65359,0.66376,0.63237,0.62571,0.56957,0.63001,0.63001,0.21908,0.52009,0.53825,0.48657,0.21461,0.19283,0.5972,0.21908,0.67371,0.21299,0.42374,0.38554,0.21507,0.59861,0.67183,0.67468,0.62378,0.5972,0.67023,0.50746,0.48853,0.6506,0.6569,0.6566,0.6378
TRBV5*04,0.48791,0.71635,0.51986,0.54541,0.49126,0.51194,0.49402,0.66881,0.47262,0.69015,0.21559,0,0.66494,0.6645,0.68479,0.68033,0.66221,0.65349,0.6308,0.66251,0.66251,0.20915,0.50908,0.51396,0.52429,0.22723,0.05107,0.65591,0.20915,0.71137,0.21191,0.42062,0.4416,0.19768,0.66502,0.69434,0.71325,0.65281,0.65591,0.69366,0.49871,0.52426,0.68254,0.6539,0.654,0.5987
TRBV19*01,0.51418,0.51949,0.66864,0.65434,0.53978,0.64866,0.65689,0.10567,0.5064,0.49319,0.63754,0.66494,0,0.3001,0.25602,0.23461,0.08143,0.2298,0.22981,0.08407,0.08407,0.6351,0.66521,0.65508,0.64982,0.61122,0.67068,0.26078,0.6351,0.30667,0.62576,0.66309,0.64029,0.63338,0.28188,0.66556,0.30543,0.2061,0.26078,0.66576,0.6566,0.64872,0.25708,0.6821,0.6817,0.6536
TRBV19*03,0.5285,0.39222,0.72478,0.64161,0.48972,0.66959,0.64533,0.3455,0.52665,0.38374,0.59874,0.6645,0.3001,0,0.29986,0.33163,0.33394,0.2915,0.10086,0.33033,0.33033,0.59726,0.67109,0.67766,0.65444,0.57891,0.658,0.04964,0.59726,0.47124,0.58274,0.61697,0.58152,0.59224,0.05393,0.65927,0.4711,0.29962,0.04964,0.65789,0.64537,0.65475,0.30814,0.6828,0.6829,0.6638
TRBV13-2*03,0.51415,0.48476,0.64907,0.62401,0.47436,0.61386,0.68213,0.14332,0.50536,0.43526,0.65359,0.68479,0.25602,0.29986,0,0.01232,0.15127,0.28027,0.19967,0.1505,0.1505,0.64641,0.61428,0.61461,0.68718,0.63024,0.68662,0.22317,0.64641,0.34021,0.63671,0.61368,0.63955,0.64346,0.23634,0.70107,0.34626,0.27852,0.22317,0.69933,0.68174,0.68618,0.00098,0.6458,0.6456,0.6324
TRBV29*02,0.5299,0.49991,0.64232,0.62087,0.50822,0.61496,0.68279,0.11705,0.52248,0.41644,0.66376,0.68033,0.23461,0.33163,0.01232,0,0.12462,0.29302,0.22616,0.125,0.125,0.65349,0.61573,0.61546,0.68394,0.62488,0.6861,0.25041,0.65349,0.31867,0.64505,0.61779,0.65132,0.65131,0.26264,0.70665,0.32476,0.28894,0.25041,0.70852,0.68286,0.68292,0.01078,0.6949,0.6947,0.6257
TRBV5*05,0.53956,0.5407,0.63651,0.63799,0.54392,0.63122,0.64579,0.00591,0.53446,0.4863,0.63237,0.66221,0.08143,0.33394,0.15127,0.12462,0,0.25531,0.23409,0.00049,0.00049,0.62832,0.62995,0.63547,0.6388,0.60621,0.66415,0.2688,0.62832,0.24414,0.61962,0.63906,0.63619,0.6268,0.28822,0.69499,0.2477,0.24131,0.2688,0.69533,0.64556,0.63764,0.14896,0.6267,0.6266,0.5721
TRBV13-2*01,0.47638,0.50543,0.69075,0.64544,0.52899,0.63349,0.69494,0.26034,0.47172,0.50336,0.62571,0.65349,0.2298,0.2915,0.28027,0.29302,0.25531,0,0.24548,0.2538,0.2538,0.62733,0.62904,0.63628,0.69446,0.62727,0.67036,0.24913,0.62733,0.32983,0.61554,0.68203,0.61854,0.62417,0.25422,0.64647,0.32836,0.00936,0.24913,0.64612,0.69472,0.69436,0.2859,0.6426,0.6424,0.63
TRBV13-2*02,0.51956,0.4929,0.68083,0.61924,0.47372,0.64287,0.6232,0.24022,0.51506,0.45334,0.56957,0.6308,0.22981,0.10086,0.19967,0.22616,0.23409,0.24548,0,0.22982,0.22982,0.56847,0.64514,0.65159,0.62807,0.55875,0.63307,0.02658,0.56847,0.38582,0.55452,0.57704,0.55342,0.56536,0.04726,0.68227,0.38536,0.25607,0.02658,0.67837,0.623,0.62813,0.20086,0.6426,0.6456,0.63
TRBV24*03,0.53711,0.53855,0.63763,0.63919,0.54044,0.62909,0.64256,0.00614,0.53135,0.48066,0.63001,0.66251,0.08407,0.33033,0.1505,0.125,0.00049,0.2538,0.22982,0,0,0.62621,0.6261,0.63571,0.63597,0.60385,0.66306,0.26454,0.62621,0.24274,0.61742,0.64152,0.63374,0.62463,0.28384,0.6945,0.24661,0.24082,0.26454,0.69479,0.64237,0.6348,0.14813,0.4356,0.4409,0.2191
TRBV16*02,0.53711,0.53855,0.63763,0.63919,0.54044,0.62909,0.64256,0.00614,0.53135,0.48066,0.63001,0.66251,0.08407,0.33033,0.1505,0.125,0.00049,0.2538,0.22982,0,0,0.62621,0.6261,0.63571,0.63597,0.60385,0.66306,0.26454,0.62621,0.24274,0.61742,0.64152,0.63374,0.62463,0.28384,0.6945,0.24661,0.24082,0.26454,0.69479,0.64237,0.6348,0.14813,0.3327,0.3385,0.5201
TRBV1*01,0.44879,0.70677,0.45119,0.46772,0.47885,0.43479,0.43561,0.63341,0.43076,0.64812,0.21908,0.20915,0.6351,0.59726,0.64641,0.65349,0.62832,0.62733,0.56847,0.62621,0.62621,0,0.43056,0.43752,0.41273,0.12794,0.22469,0.59693,0,0.67656,0.01256,0.30673,0.33383,0.00706,0.59913,0.67143,0.67662,0.62673,0.59693,0.6716,0.44085,0.41609,0.64203,0.7731,0.7745,0.7301
TRBV16*01,0.56811,0.76612,0.12551,0.38083,0.53179,0.00649,0.33268,0.63602,0.55099,0.61955,0.52009,0.50908,0.66521,0.67109,0.61428,0.61573,0.62995,0.62904,0.64514,0.6261,0.6261,0.43056,0,0.00929,0.36829,0.44077,0.50728,0.66463,0.43056,0.60867,0.44218,0.24572,0.20909,0.43971,0.66631,0.70212,0.60841,0.64017,0.66463,0.705,0.33852,0.36401,0.61461,0.3507,0.3554,0.5382
TRBV12-1*01,0.5681,0.77375,0.10944,0.37581,0.53929,0.00147,0.35075,0.62962,0.55347,0.61065,0.53825,0.51396,0.65508,0.67766,0.61461,0.61546,0.63547,0.63628,0.65159,0.63571,0.63571,0.43752,0.00929,0,0.38505,0.46255,0.51519,0.66932,0.43752,0.60664,0.44483,0.26637,0.22913,0.44276,0.66969,0.70603,0.60665,0.64852,0.66932,0.7088,0.35538,0.38,0.61471,0.0334,0.0329,0.4866
TRBV23*01,0.52461,0.77225,0.43475,0.54428,0.57699,0.38443,0.03345,0.64575,0.51651,0.64326,0.48657,0.52429,0.64982,0.65444,0.68718,0.68394,0.6388,0.69446,0.62807,0.63597,0.63597,0.41273,0.36829,0.38505,0,0.40508,0.50874,0.64968,0.41273,0.62494,0.43739,0.44434,0.29795,0.42086,0.65049,0.6962,0.6251,0.69346,0.64968,0.69745,0.03293,0.00036,0.6809,0.3892,0.3924,0.2146
TRBV2*01,0.47638,0.69985,0.49268,0.50132,0.4814,0.45291,0.38921,0.61056,0.46584,0.59022,0.21461,0.22723,0.61122,0.57891,0.63024,0.62488,0.60621,0.62727,0.55875,0.60385,0.60385,0.12794,0.44077,0.46255,0.40508,0,0.22227,0.57826,0.12794,0.66088,0.12246,0.39894,0.32386,0.12608,0.58299,0.67626,0.65665,0.62695,0.57826,0.67762,0.39239,0.40884,0.6266,0.6693,0.6687,0.6075
TRBV26*02,0.52259,0.74146,0.5215,0.56005,0.51873,0.51375,0.51624,0.67161,0.50819,0.69023,0.19283,0.05107,0.67068,0.658,0.68662,0.6861,0.66415,0.67036,0.63307,0.66306,0.66306,0.22469,0.50728,0.51519,0.50874,0.22227,0,0.65711,0.22469,0.7167,0.23667,0.41919,0.43145,0.2161,0.65844,0.67391,0.71917,0.66916,0.65711,0.6744,0.51706,0.51171,0.68322,0.5162,0.5171,0.1928
TRBV5*01,0.53137,0.45411,0.70141,0.63764,0.4978,0.66156,0.63955,0.27484,0.52927,0.42151,0.5972,0.65591,0.26078,0.04964,0.22317,0.25041,0.2688,0.24913,0.02658,0.26454,0.26454,0.59693,0.66463,0.66932,0.64968,0.57826,0.65711,0,0.59693,0.40284,0.5834,0.62288,0.58106,0.59204,0.00638,0.67196,0.4028,0.26084,0,0.6697,0.63967,0.64988,0.2283,0.6459,0.6461,0.5972
TRBV24*02,0.44879,0.70677,0.45119,0.46772,0.47885,0.43479,0.43561,0.63341,0.43076,0.64812,0.21908,0.20915,0.6351,0.59726,0.64641,0.65349,0.62832,0.62733,0.56847,0.62621,0.62621,0,0.43056,0.43752,0.41273,0.12794,0.22469,0.59693,0,0.67656,0.01256,0.30673,0.33383,0.00706,0.59913,0.67143,0.67662,0.62673,0.59693,0.6716,0.44085,0.41609,0.64203,0.4356,0.4409,0.2191
TRBV1*02,0.66382,0.54928,0.6064,0.52534,0.64402,0.60049,0.61598,0.2358,0.66299,0.47288,0.67371,0.71137,0.30667,0.47124,0.34021,0.31867,0.24414,0.32983,0.38582,0.24274,0.24274,0.67656,0.60867,0.60664,0.62494,0.66088,0.7167,0.40284,0.67656,0,0.67864,0.62431,0.64417,0.67361,0.39915,0.6844,0.00163,0.32344,0.40284,0.67969,0.61642,0.62356,0.33282,0.7718,0.7752,0.7305
TRBV13-1*02,0.41541,0.68587,0.45382,0.45292,0.45823,0.44317,0.43962,0.62403,0.39718,0.63735,0.21299,0.21191,0.62576,0.58274,0.63671,0.64505,0.61962,0.61554,0.55452,0.61742,0.61742,0.01256,0.44218,0.44483,0.43739,0.12246,0.23667,0.5834,0.01256,0.67864,0,0.308,0.32876,0.01194,0.58646,0.67325,0.67909,0.61519,0.5834,0.67033,0.44461,0.43999,0.63289,0.616,0.6164,0.6737
TRBV24*01,0.44855,0.7617,0.30603,0.28689,0.42105,0.25662,0.43163,0.63351,0.43142,0.66196,0.42374,0.42062,0.66309,0.61697,0.61368,0.61779,0.63906,0.68203,0.57704,0.64152,0.64152,0.30673,0.24572,0.26637,0.44434,0.39894,0.41919,0.62288,0.30673,0.62431,0.308,0,0.3254,0.30826,0.63355,0.69122,0.62505,0.68626,0.62288,0.69292,0.43214,0.44256,0.61426,0.4396,0.4446,0.213
TRBV14*01,0.48502,0.71455,0.28731,0.49954,0.53067,0.22461,0.28312,0.63909,0.47569,0.636,0.38554,0.4416,0.64029,0.58152,0.63955,0.65132,0.63619,0.61854,0.55342,0.63374,0.63374,0.33383,0.20909,0.22913,0.29795,0.32386,0.43145,0.58106,0.33383,0.64417,0.32876,0.3254,0,0.34466,0.58305,0.67376,0.6455,0.61776,0.58106,0.6718,0.28825,0.29554,0.63523,0.4316,0.4321,0.4237
TRBV15*01,0.43139,0.70236,0.44934,0.46666,0.46104,0.44106,0.4246,0.6317,0.41275,0.64444,0.21507,0.19768,0.63338,0.59224,0.64346,0.65131,0.6268,0.62417,0.56536,0.62463,0.62463,0.00706,0.43971,0.44276,0.42086,0.12608,0.2161,0.59204,0.00706,0.67361,0.01194,0.30826,0.34466,0,0.59448,0.67249,0.67382,0.62368,0.59204,0.67053,0.42984,0.42246,0.6392,0.2831,0.2882,0.3855
TRBV24*04,0.53056,0.45752,0.69991,0.63635,0.49541,0.66237,0.63986,0.2942,0.52947,0.41589,0.59861,0.66502,0.28188,0.05393,0.23634,0.26264,0.28822,0.25422,0.04726,0.28384,0.28384,0.59913,0.66631,0.66969,0.65049,0.58299,0.65844,0.00638,0.59913,0.39915,0.58646,0.63355,0.58305,0.59448,0,0.68143,0.39944,0.26696,0.00638,0.6759,0.63998,0.6508,0.24173,0.4246,0.4298,0.2151
TRBV5*03,0.68185,0.76077,0.75228,0.66631,0.69796,0.7022,0.71035,0.69652,0.67424,0.72008,0.67183,0.69434,0.66556,0.65927,0.70107,0.70665,0.69499,0.64647,0.68227,0.6945,0.6945,0.67143,0.70212,0.70603,0.6962,0.67626,0.67391,0.67196,0.67143,0.6844,0.67325,0.69122,0.67376,0.67249,0.68143,0,0.68111,0.64692,0.67196,0.00121,0.70958,0.69684,0.7008,0.6479,0.648,0.5986
TRBV20*01,0.66417,0.5456,0.60361,0.5193,0.64243,0.60036,0.61614,0.24065,0.66296,0.47211,0.67468,0.71325,0.30543,0.4711,0.34626,0.32476,0.2477,0.32836,0.38536,0.24661,0.24661,0.67662,0.60841,0.60665,0.6251,0.65665,0.71917,0.4028,0.67662,0.00163,0.67909,0.62505,0.6455,0.67382,0.39944,0.68111,0,0.32275,0.4028,0.67624,0.61667,0.6237,0.33889,0.8584,0.8604,0.8435
TRBV13-1*01,0.48517,0.51067,0.70196,0.64408,0.5259,0.64255,0.69426,0.24728,0.4811,0.50114,0.62378,0.65281,0.2061,0.29962,0.27852,0.28894,0.24131,0.00936,0.25607,0.24082,0.24082,0.62673,0.64017,0.64852,0.69346,0.62695,0.66916,0.26084,0.62673,0.32344,0.61519,0.68626,0.61776,0.62368,0.26696,0.64692,0.32275,0,0.26084,0.64628,0.694,0.69335,0.28427,0.6161,0.6167,0.6747
TRBV29*01,0.53137,0.45411,0.70141,0.63764,0.4978,0.66156,0.63955,0.27484,0.52927,0.42151,0.5972,0.65591,0.26078,0.04964,0.22317,0.25041,0.2688,0.24913,0.02658,0.26454,0.26454,0.59693,0.66463,0.66932,0.64968,0.57826,0.65711,0,0.59693,0.40284,0.5834,0.62288,0.58106,0.59204,0.00638,0.67196,0.4028,0.26084,0,0.6697,0.63967,0.64988,0.2283,0.6943,0.694,0.6253
TRBV5*02,0.67809,0.75684,0.75665,0.6645,0.69224,0.70433,0.70911,0.69676,0.67034,0.71416,0.67023,0.69366,0.66576,0.65789,0.69933,0.70852,0.69533,0.64612,0.67837,0.69479,0.69479,0.6716,0.705,0.7088,0.69745,0.67762,0.6744,0.6697,0.6716,0.67969,0.67033,0.69292,0.6718,0.67053,0.6759,0.00121,0.67624,0.64628,0.6697,0,0.7083,0.6981,0.69967,0.6459,0.6461,0.5972
TRBV20*02,0.53021,0.74791,0.40537,0.53212,0.58301,0.35503,0.00154,0.65022,0.52274,0.62813,0.50746,0.49871,0.6566,0.64537,0.68174,0.68286,0.64556,0.69472,0.623,0.64237,0.64237,0.44085,0.33852,0.35538,0.03293,0.39239,0.51706,0.63967,0.44085,0.61642,0.44461,0.43214,0.28825,0.42984,0.63998,0.70958,0.61667,0.694,0.63967,0.7083,0,0.03176,0.67863,0.8588,0.8608,0.8431
TRBV12-1*02,0.52375,0.77259,0.43026,0.54326,0.57666,0.37937,0.03255,0.64466,0.51555,0.64267,0.48853,0.52426,0.64872,0.65475,0.68618,0.68292,0.63764,0.69436,0.62813,0.6348,0.6348,0.41609,0.36401,0.38,0.00036,0.40884,0.51171,0.64988,0.41609,0.62356,0.43999,0.44256,0.29554,0.42246,0.6508,0.69684,0.6237,0.69335,0.64988,0.6981,0.03176,0,0.6802,0.0325,0.0318,0.4885
TRBV19*02,0.51775,0.49383,0.64723,0.61989,0.47,0.61414,0.67876,0.14118,0.50859,0.43979,0.6506,0.68254,0.25708,0.30814,0.00098,0.01078,0.14896,0.2859,0.20086,0.14813,0.14813,0.64203,0.61461,0.61471,0.6809,0.6266,0.68322,0.2283,0.64203,0.33282,0.63289,0.61426,0.63523,0.6392,0.24173,0.7008,0.33889,0.28427,0.2283,0.69967,0.67863,0.6802,0,0.6788,0.6786,0.6506
TRBV12-2*01,0.5298,0.7561,0.4019,0.5345,0.5825,0.3501,0.6503,0.5223,0.6395,0.494,0.6569,0.6539,0.6821,0.6828,0.6458,0.6949,0.6267,0.6426,0.6426,0.4356,0.3327,0.7731,0.3507,0.0334,0.3892,0.6693,0.5162,0.6459,0.4356,0.7718,0.616,0.4396,0.4316,0.2831,0.4246,0.6479,0.8584,0.6161,0.6943,0.6459,0.8588,0.0325,0.6788,0,0.0015,0.5055
TRBV12-2*02,0.5302,0.7612,0.4054,0.5321,0.583,0.355,0.6502,0.5227,0.6395,0.4987,0.6566,0.654,0.6817,0.6829,0.6456,0.6947,0.6266,0.6424,0.6456,0.4409,0.3385,0.7745,0.3554,0.0329,0.3924,0.6687,0.5171,0.6461,0.4409,0.7752,0.6164,0.4446,0.4321,0.2882,0.4298,0.648,0.8604,0.6167,0.694,0.6461,0.8608,0.0318,0.6786,0.0015,0,0.5075
TRBV21*01,0.5274,0.6938,0.5422,0.5642,0.5499,0.5315,0.636,0.5244,0.6264,0.2156,0.6378,0.5987,0.6536,0.6638,0.6324,0.6257,0.5721,0.63,0.63,0.2191,0.5201,0.7301,0.5382,0.4866,0.2146,0.6075,0.1928,0.5972,0.2191,0.7305,0.6737,0.213,0.4237,0.3855,0.2151,0.5986,0.8435,0.6747,0.6253,0.5972,0.8431,0.4885,0.6506,0.5055,0.5075,0
