Column1;TRBV3*02;TRBV17*01;TRBV16*03;TRBV4*01;TRBV4*02;TRBV16*04;TRBV13-2*04;TRBV3*01;TRBV13-3*01;TRBV26*01;TRBV13-2*05;TRBV5*04;TRBV19*01;TRBV19*03;TRBV13-2*03;TRBV29*02;TRBV5*05;TRBV13-2*01;TRBV13-2*02;TRBV24*03;TRBV16*02;TRBV1*01;TRBV16*01;TRBV12-1*01;TRBV23*01;TRBV2*01;TRBV26*02;TRBV5*01;TRBV24*02;TRBV1*02;TRBV13-1*02;TRBV24*01;TRBV14*01;TRBV15*01;TRBV24*04;TRBV5*03;TRBV20*01;TRBV13-1*01;TRBV29*01;TRBV5*02;TRBV20*02;TRBV12-1*02;TRBV19*02;TRBV12-2*01;TRBV12-2*02;TRBV21*01
TRBV13-2*05;0.5274;0.6938;0.5422;0.5642;0.5499;0.5315;0.5055;0.636;0.5244;0.6264;0;0.2156;0.6378;0.5987;0.6536;0.6638;0.6324;0.6257;0.5721;0.63;0.63;0.2191;0.5201;0.5382;0.4866;0.2146;0.1928;0.5972;0.2191;0.6737;0.213;0.4237;0.3855;0.2151;0.5986;0.8293;0.6747;0.6253;0.5972;0.8288;0.5075;0.4885;0.6506;0.6569;0.6566;0.6378
TRBV5*04;0.4879;0.7194;0.5199;0.5454;0.4913;0.5119;0.494;0.6688;0.4726;0.6902;0.2156;0;0.6649;0.6645;0.6848;0.6803;0.6622;0.6535;0.6308;0.6625;0.6625;0.2092;0.5091;0.514;0.5243;0.2272;0.0511;0.6559;0.2092;0.7114;0.2119;0.4206;0.4416;0.1977;0.665;0.8396;0.7133;0.6528;0.6559;0.8406;0.4987;0.5243;0.6825;0.6539;0.654;0.5987
TRBV19*01;0.5142;0.5195;0.6686;0.6543;0.5398;0.6487;0.6569;0.1057;0.5064;0.4932;0.6378;0.6649;0;0.3001;0.256;0.2346;0.0814;0.2298;0.2298;0.0841;0.0841;0.6351;0.6652;0.6551;0.6498;0.6112;0.6707;0.2608;0.6351;0.3067;0.6258;0.6631;0.6403;0.6334;0.2819;0.8171;0.3054;0.2061;0.2608;0.8131;0.6566;0.6487;0.2571;0.6821;0.6817;0.6536
TRBV19*03;0.5296;0.3922;0.7248;0.6416;0.4902;0.6696;0.6539;0.3455;0.528;0.3837;0.5987;0.6645;0.3001;0;0.2999;0.3316;0.3339;0.2915;0.1009;0.3303;0.3303;0.6053;0.6711;0.6777;0.665;0.59;0.658;0.0496;0.6053;0.4712;0.5901;0.6179;0.5865;0.5996;0.0539;0.8164;0.4711;0.2996;0.0496;0.812;0.654;0.665;0.3081;0.6828;0.6829;0.6638
TRBV13-2*03;0.5142;0.4848;0.6491;0.624;0.4744;0.6139;0.6821;0.1433;0.5054;0.4353;0.6536;0.6848;0.256;0.2999;0;0.0123;0.1513;0.2803;0.1997;0.1505;0.1505;0.6464;0.6143;0.6146;0.6872;0.6302;0.6866;0.2232;0.6464;0.3402;0.6367;0.6137;0.6395;0.6435;0.2363;0.8332;0.3463;0.2785;0.2232;0.8299;0.6817;0.6862;0.001;0.6458;0.6456;0.6324
TRBV29*02;0.5299;0.4999;0.6423;0.6209;0.5082;0.615;0.6828;0.117;0.5225;0.4164;0.6638;0.6803;0.2346;0.3316;0.0123;0;0.1246;0.293;0.2262;0.125;0.125;0.6535;0.6157;0.6155;0.6839;0.6249;0.6861;0.2504;0.6535;0.3187;0.6451;0.6178;0.6513;0.6513;0.2626;0.8333;0.3248;0.2889;0.2504;0.83;0.6829;0.6829;0.0108;0.6949;0.6947;0.6257
TRBV5*05;0.5396;0.5407;0.6365;0.6377;0.5439;0.6312;0.6458;0.0059;0.5345;0.4863;0.6324;0.6622;0.0814;0.3339;0.1513;0.1246;0;0.2553;0.2341;0.0005;0.0005;0.6283;0.63;0.6355;0.6388;0.6062;0.6642;0.2688;0.6283;0.2441;0.6196;0.6391;0.6362;0.6268;0.2882;0.8048;0.2477;0.2413;0.2688;0.8006;0.6456;0.6376;0.149;0.6267;0.6266;0.5721
TRBV13-2*01;0.4764;0.5054;0.6907;0.6454;0.529;0.6335;0.6949;0.2603;0.4717;0.5034;0.6257;0.6535;0.2298;0.2915;0.2803;0.293;0.2553;0;0.2455;0.2538;0.2538;0.6273;0.629;0.6363;0.6945;0.6273;0.6704;0.2491;0.6273;0.3298;0.6155;0.682;0.6185;0.6242;0.2542;0.8206;0.3284;0.0094;0.2491;0.8188;0.6947;0.6944;0.2859;0.6426;0.6424;0.63
TRBV13-2*02;0.5195;0.4929;0.6808;0.6192;0.4737;0.6429;0.6267;0.2402;0.5151;0.4533;0.5721;0.6308;0.2298;0.1009;0.1997;0.2262;0.2341;0.2455;0;0.2298;0.2298;0.5722;0.6451;0.6516;0.6331;0.5652;0.6331;0.0266;0.5722;0.3858;0.5576;0.577;0.5553;0.5666;0.0473;0.82;0.3854;0.2561;0.0266;0.8173;0.6266;0.633;0.2009;0.6426;0.6456;0.63
TRBV24*03;0.5371;0.5385;0.6376;0.6389;0.5404;0.6291;0.6426;0.0061;0.5313;0.4807;0.63;0.6625;0.0841;0.3303;0.1505;0.125;0.0005;0.2538;0.2298;0;0;0.6262;0.6261;0.6357;0.636;0.6039;0.6631;0.2645;0.6262;0.2427;0.6174;0.6415;0.6337;0.6246;0.2838;0.8045;0.2466;0.2408;0.2645;0.8003;0.6424;0.6348;0.1481;0.4356;0.4409;0.2191
TRBV16*02;0.5371;0.5385;0.6376;0.6389;0.5404;0.6291;0.6426;0.0061;0.5313;0.4807;0.63;0.6625;0.0841;0.3303;0.1505;0.125;0.0005;0.2538;0.2298;0;0;0.6262;0.6261;0.6357;0.636;0.6039;0.6631;0.2645;0.6262;0.2427;0.6174;0.6415;0.6337;0.6246;0.2838;0.8045;0.2466;0.2408;0.2645;0.8003;0.6424;0.6348;0.1481;0.3327;0.3385;0.5201
TRBV1*01;0.4488;0.7106;0.4512;0.4677;0.4789;0.4348;0.4356;0.6334;0.4308;0.6541;0.2191;0.2092;0.6351;0.6053;0.6464;0.6535;0.6283;0.6273;0.5722;0.6262;0.6262;0;0.4306;0.4375;0.4127;0.1279;0.2247;0.6031;0;0.6766;0.0126;0.3067;0.3338;0.0071;0.6062;0.8191;0.6766;0.6267;0.6031;0.8179;0.4409;0.4161;0.642;0.7731;0.7745;0.7301
TRBV16*01;0.5681;0.7151;0.1255;0.3808;0.5318;0.0065;0.3327;0.636;0.551;0.6265;0.5201;0.5091;0.6652;0.6711;0.6143;0.6157;0.63;0.629;0.6451;0.6261;0.6261;0.4306;0;0.0093;0.3683;0.4408;0.5073;0.6646;0.4306;0.6087;0.4422;0.2457;0.2091;0.4397;0.6663;0.8468;0.6084;0.6402;0.6646;0.8456;0.3385;0.364;0.6146;0.3507;0.3554;0.5382
TRBV12-1*01;0.5681;0.7077;0.1094;0.3758;0.5393;0.0015;0.3507;0.6296;0.5535;0.6172;0.5382;0.514;0.6551;0.6777;0.6146;0.6155;0.6355;0.6363;0.6516;0.6357;0.6357;0.4375;0.0093;0;0.385;0.4626;0.5152;0.6693;0.4375;0.6066;0.4448;0.2664;0.2291;0.4428;0.6697;0.8453;0.6066;0.6485;0.6693;0.844;0.3554;0.38;0.6147;0.0334;0.0329;0.4866
TRBV23*01;0.5246;0.754;0.4347;0.5443;0.577;0.3844;0.0334;0.6457;0.5165;0.6469;0.4866;0.5243;0.6498;0.665;0.6872;0.6839;0.6388;0.6945;0.6331;0.636;0.636;0.4127;0.3683;0.385;0;0.4051;0.5087;0.6577;0.4127;0.6249;0.4374;0.4443;0.298;0.4209;0.6601;0.8403;0.6251;0.6935;0.6577;0.8409;0.0329;0.0004;0.6809;0.3892;0.3924;0.2146
TRBV2*01;0.4764;0.6865;0.4927;0.5013;0.4814;0.4529;0.3892;0.6106;0.4658;0.6221;0.2146;0.2272;0.6112;0.59;0.6302;0.6249;0.6062;0.6273;0.5652;0.6039;0.6039;0.1279;0.4408;0.4626;0.4051;0;0.2223;0.5873;0.1279;0.6609;0.1225;0.3989;0.3239;0.1261;0.593;0.8497;0.6567;0.6269;0.5873;0.8492;0.3924;0.4088;0.6266;0.6693;0.6687;0.6075
TRBV26*02;0.5226;0.7573;0.5215;0.56;0.5187;0.5137;0.5162;0.6716;0.5082;0.6902;0.1928;0.0511;0.6707;0.658;0.6866;0.6861;0.6642;0.6704;0.6331;0.6631;0.6631;0.2247;0.5073;0.5152;0.5087;0.2223;0;0.6571;0.2247;0.7167;0.2367;0.4192;0.4315;0.2161;0.6584;0.8395;0.7192;0.6692;0.6571;0.8405;0.5171;0.5117;0.6832;0.5162;0.5171;0.1928
TRBV5*01;0.532;0.4541;0.7014;0.6376;0.4978;0.6616;0.6459;0.2748;0.53;0.4215;0.5972;0.6559;0.2608;0.0496;0.2232;0.2504;0.2688;0.2491;0.0266;0.2645;0.2645;0.6031;0.6646;0.6693;0.6577;0.5873;0.6571;0;0.6031;0.4028;0.589;0.6234;0.5848;0.5976;0.0064;0.8215;0.4028;0.2608;0;0.8195;0.6461;0.6577;0.2283;0.6459;0.6461;0.5972
TRBV24*02;0.4488;0.7106;0.4512;0.4677;0.4789;0.4348;0.4356;0.6334;0.4308;0.6541;0.2191;0.2092;0.6351;0.6053;0.6464;0.6535;0.6283;0.6273;0.5722;0.6262;0.6262;0;0.4306;0.4375;0.4127;0.1279;0.2247;0.6031;0;0.6766;0.0126;0.3067;0.3338;0.0071;0.6062;0.8191;0.6766;0.6267;0.6031;0.8179;0.4409;0.4161;0.642;0.4356;0.4409;0.2191
TRBV1*02;0.6638;0.5493;0.6064;0.5253;0.644;0.6005;0.616;0.2358;0.663;0.4729;0.6737;0.7114;0.3067;0.4712;0.3402;0.3187;0.2441;0.3298;0.3858;0.2427;0.2427;0.6766;0.6087;0.6066;0.6249;0.6609;0.7167;0.4028;0.6766;0;0.6786;0.6243;0.6442;0.6736;0.3991;0.8166;0.0016;0.3234;0.4028;0.8187;0.6164;0.6236;0.3328;0.7718;0.7752;0.7305
TRBV13-1*02;0.4154;0.6894;0.4538;0.4529;0.4582;0.4432;0.4396;0.624;0.3972;0.6516;0.213;0.2119;0.6258;0.5901;0.6367;0.6451;0.6196;0.6155;0.5576;0.6174;0.6174;0.0126;0.4422;0.4448;0.4374;0.1225;0.2367;0.589;0.0126;0.6786;0;0.308;0.3288;0.0119;0.593;0.8274;0.6791;0.6152;0.589;0.8262;0.4446;0.44;0.6329;0.616;0.6164;0.6737
TRBV24*01;0.4485;0.7182;0.306;0.2869;0.4211;0.2566;0.4316;0.6335;0.4314;0.6632;0.4237;0.4206;0.6631;0.6179;0.6137;0.6178;0.6391;0.682;0.577;0.6415;0.6415;0.3067;0.2457;0.2664;0.4443;0.3989;0.4192;0.6234;0.3067;0.6243;0.308;0;0.3254;0.3083;0.6344;0.8551;0.625;0.6863;0.6234;0.8552;0.4321;0.4426;0.6143;0.4396;0.4446;0.213
TRBV14*01;0.485;0.7366;0.2873;0.4995;0.5307;0.2246;0.2831;0.6391;0.4757;0.6418;0.3855;0.4416;0.6403;0.5865;0.6395;0.6513;0.6362;0.6185;0.5553;0.6337;0.6337;0.3338;0.2091;0.2291;0.298;0.3239;0.4315;0.5848;0.3338;0.6442;0.3288;0.3254;0;0.3447;0.5879;0.8346;0.6455;0.6178;0.5848;0.8331;0.2882;0.2955;0.6352;0.4316;0.4321;0.4237
TRBV15*01;0.4314;0.7058;0.4493;0.4667;0.461;0.4411;0.4246;0.6317;0.4127;0.6522;0.2151;0.1977;0.6334;0.5996;0.6435;0.6513;0.6268;0.6242;0.5666;0.6246;0.6246;0.0071;0.4397;0.4428;0.4209;0.1261;0.2161;0.5976;0.0071;0.6736;0.0119;0.3083;0.3447;0;0.6009;0.8316;0.6738;0.6237;0.5976;0.8304;0.4298;0.4225;0.6392;0.2831;0.2882;0.3855
TRBV24*04;0.5315;0.4575;0.6999;0.6364;0.5022;0.6624;0.6479;0.2942;0.5305;0.4159;0.5986;0.665;0.2819;0.0539;0.2363;0.2626;0.2882;0.2542;0.0473;0.2838;0.2838;0.6062;0.6663;0.6697;0.6601;0.593;0.6584;0.0064;0.6062;0.3991;0.593;0.6344;0.5879;0.6009;0;0.8229;0.3994;0.267;0.0064;0.8214;0.648;0.6602;0.2417;0.4246;0.4298;0.2151
TRBV5*03;0.8727;0.835;0.8708;0.8462;0.8718;0.8578;0.8584;0.8167;0.8735;0.7913;0.8435;0.8529;0.8324;0.8317;0.8471;0.8472;0.821;0.8356;0.835;0.8208;0.8208;0.8342;0.8596;0.8582;0.8536;0.8622;0.8529;0.8363;0.8342;0.8319;0.8418;0.8672;0.8483;0.8456;0.8377;0;0.8264;0.8399;0.8363;0.0012;0.8604;0.8539;0.8474;0.6479;0.648;0.5986
TRBV20*01;0.6642;0.5456;0.6036;0.5193;0.6424;0.6004;0.6161;0.2407;0.663;0.4721;0.6747;0.7133;0.3054;0.4711;0.3463;0.3248;0.2477;0.3284;0.3854;0.2466;0.2466;0.6766;0.6084;0.6066;0.6251;0.6567;0.7192;0.4028;0.6766;0.0016;0.6791;0.625;0.6455;0.6738;0.3994;0.8106;0;0.3228;0.4028;0.8128;0.6167;0.6237;0.3389;0.8584;0.8604;0.8435
TRBV13-1*01;0.4852;0.5107;0.702;0.6441;0.5259;0.6425;0.6943;0.2473;0.4811;0.5011;0.6253;0.6528;0.2061;0.2996;0.2785;0.2889;0.2413;0.0094;0.2561;0.2408;0.2408;0.6267;0.6402;0.6485;0.6935;0.6269;0.6692;0.2608;0.6267;0.3234;0.6152;0.6863;0.6178;0.6237;0.267;0.8253;0.3228;0;0.2608;0.8237;0.694;0.6933;0.2843;0.6161;0.6167;0.6747
TRBV29*01;0.532;0.4541;0.7014;0.6376;0.4978;0.6616;0.6459;0.2748;0.53;0.4215;0.5972;0.6559;0.2608;0.0496;0.2232;0.2504;0.2688;0.2491;0.0266;0.2645;0.2645;0.6031;0.6646;0.6693;0.6577;0.5873;0.6571;0;0.6031;0.4028;0.589;0.6234;0.5848;0.5976;0.0064;0.8215;0.4028;0.2608;0;0.8195;0.6461;0.6577;0.2283;0.6943;0.694;0.6253
TRBV5*02;0.8732;0.831;0.8699;0.8469;0.8721;0.8566;0.8588;0.8128;0.874;0.7876;0.8431;0.8539;0.8287;0.8276;0.8441;0.8442;0.8172;0.8339;0.8325;0.817;0.817;0.833;0.8585;0.857;0.8541;0.8618;0.8538;0.8345;0.833;0.8338;0.8407;0.8673;0.847;0.8446;0.8363;0.0012;0.8284;0.8384;0.8345;0;0.8608;0.8544;0.8444;0.6459;0.6461;0.5972
TRBV20*02;0.5302;0.7612;0.4054;0.5321;0.583;0.355;0.0015;0.6502;0.5227;0.6395;0.5075;0.4987;0.6566;0.654;0.6817;0.6829;0.6456;0.6947;0.6266;0.6424;0.6424;0.4409;0.3385;0.3554;0.0329;0.3924;0.5171;0.6461;0.4409;0.6164;0.4446;0.4321;0.2882;0.4298;0.648;0.8477;0.6167;0.694;0.6461;0.8481;0;0.0318;0.6786;0.8588;0.8608;0.8431
TRBV12-1*02;0.5238;0.756;0.4303;0.5433;0.5767;0.3794;0.0325;0.6447;0.5155;0.6464;0.4885;0.5243;0.6487;0.665;0.6862;0.6829;0.6376;0.6944;0.633;0.6348;0.6348;0.4161;0.364;0.38;0.0004;0.4088;0.5117;0.6577;0.4161;0.6236;0.44;0.4426;0.2955;0.4225;0.6602;0.8407;0.6237;0.6933;0.6577;0.8412;0.0318;0;0.6802;0.0325;0.0318;0.4885
TRBV19*02;0.5178;0.4938;0.6472;0.6199;0.47;0.6141;0.6788;0.1412;0.5086;0.4398;0.6506;0.6825;0.2571;0.3081;0.001;0.0108;0.149;0.2859;0.2009;0.1481;0.1481;0.642;0.6146;0.6147;0.6809;0.6266;0.6832;0.2283;0.642;0.3328;0.6329;0.6143;0.6352;0.6392;0.2417;0.8336;0.3389;0.2843;0.2283;0.8302;0.6786;0.6802;0;0.6788;0.6786;0.6506
TRBV12-2*01;0.5298;0.7561;0.4019;0.5345;0.5825;0.3501;0.6503;0.5223;0.6395;0.494;0.6569;0.6539;0.6821;0.6828;0.6458;0.6949;0.6267;0.6426;0.6426;0.4356;0.3327;0.7731;0.3507;0.0334;0.3892;0.6693;0.5162;0.6459;0.4356;0.7718;0.616;0.4396;0.4316;0.2831;0.4246;0.6479;0.8584;0.6161;0.6943;0.6459;0.8588;0.0325;0.6788;0;0.0015;0.5055
TRBV12-2*02;0.5302;0.7612;0.4054;0.5321;0.583;0.355;0.6502;0.5227;0.6395;0.4987;0.6566;0.654;0.6817;0.6829;0.6456;0.6947;0.6266;0.6424;0.6456;0.4409;0.3385;0.7745;0.3554;0.0329;0.3924;0.6687;0.5171;0.6461;0.4409;0.7752;0.6164;0.4446;0.4321;0.2882;0.4298;0.648;0.8604;0.6167;0.694;0.6461;0.8608;0.0318;0.6786;0.0015;0;0.5075
TRBV21*01;0.5274;0.6938;0.5422;0.5642;0.5499;0.5315;0.636;0.5244;0.6264;0.2156;0.6378;0.5987;0.6536;0.6638;0.6324;0.6257;0.5721;0.63;0.63;0.2191;0.5201;0.7301;0.5382;0.4866;0.2146;0.6075;0.1928;0.5972;0.2191;0.7305;0.6737;0.213;0.4237;0.3855;0.2151;0.5986;0.8435;0.6747;0.6253;0.5972;0.8431;0.4885;0.6506;0.5055;0.5075;0
